Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
FIFA 14,PS3,2013,Sports,0.78,4.24,0.07,1.37,6.47,86,4.3,E
Assassin's Creed III,PS3,2012,Action,2.64,2.52,0.16,1.12,6.45,85,6.9,M
Donkey Kong Country Returns,Wii,2010,Platform,3.17,1.79,1.03,0.46,6.44,87,8.6,E
Halo: Combat Evolved,XB,2001,Shooter,4.98,1.3,0.08,0.07,6.43,97,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,2.55,2.6,0.25,1,6.41,92,6.4,M
Pokémon Emerald Version,GBA,2004,Role-Playing,2.57,1.58,2.06,0.21,6.41,76,9,E
Kingdom Hearts,PS2,2002,Role-Playing,3.64,1.2,1.49,0.07,6.4,85,8.8,E
Pokémon Crystal Version,GB,2000,Role-Playing,2.55,1.56,1.29,0.99,6.39,,,
Halo 3: ODST,X360,2009,Shooter,4.34,1.34,0.06,0.61,6.34,83,7.1,M
Red Dead Redemption,X360,2010,Action,3.7,1.95,0.09,0.58,6.32,95,9,M
Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,6.31,92,8.6,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,2.47,0.83,2.87,0.12,6.3,,,
World of Warcraft,PC,2004,Role-Playing,0.08,6.21,0,0,6.29,93,7.3,T
Driver,PS,1999,Action,3.11,2.8,0.02,0.33,6.27,87,8.1,T
Gears of War 3,X360,2011,Shooter,4.05,1.59,0.07,0.5,6.21,91,7.8,M
Kinect Sports,X360,2010,Sports,3.92,1.73,0.03,0.51,6.19,73,7.4,E10+
Gears of War,X360,2006,Shooter,3.54,1.88,0.07,0.6,6.09,94,8.3,M
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.9,6.08,82,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,6.05,96,8.7,M
Sonic the Hedgehog 2,GEN,1992,Platform,4.47,1.2,0.16,0.19,6.03,,,
Metal Gear Solid,PS,1998,Action,3.18,1.83,0.78,0.24,6.03,94,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,2.63,1.71,0.83,0.82,5.99,94,8.7,M
Final Fantasy XII,PS2,2006,Role-Playing,1.88,0,2.33,1.74,5.95,92,7.6,T
The Last of Us,PS3,2013,Action,2.41,2.18,0.28,0.99,5.87,95,9.1,M
LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,5.82,95,6.8,E
Resident Evil 2,PS,1998,Action,1.88,1.47,2.02,0.45,5.82,89,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,0.63,0.67,4.35,0.15,5.78,87,8.8,E10+
Tekken 2,PS,1996,Fighting,2.26,1.89,1.36,0.23,5.74,89,8.9,T
Destiny,PS4,2014,Shooter,2.49,2.07,0.16,0.92,5.64,76,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,3.57,1.55,0,0.51,5.64,80,8.9,E10+
Cooking Mama,DS,2006,Simulation,3.07,1.91,0.07,0.57,5.63,67,7.2,E
Tetris,NES,1988,Puzzle,2.97,0.69,1.81,0.11,5.58,,,
Super Smash Bros.,N64,1999,Fighting,2.95,0.6,1.97,0.04,5.55,,,
Assassin's Creed II,PS3,2009,Action,2.54,1.93,0.21,0.86,5.55,91,8.6,M
Assassin's Creed,X360,2007,Adventure,3.28,1.64,0.07,0.56,5.54,81,7.7,M
Forza Motorsport 3,X360,2009,Racing,2.99,1.9,0.1,0.5,5.49,92,8,E
Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49,84,7.8,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,5.48,81,8.7,T
Batman: Arkham City,PS3,2011,Action,2.71,1.85,0.11,0.81,5.48,96,8.6,T
Grand Theft Auto V,XOne,2014,Action,2.81,2.19,0,0.47,5.48,97,7.9,M
Mario Kart: Super Circuit,GBA,2001,Racing,2.62,1.64,0.99,0.23,5.47,93,8.3,E
Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,5.46,,,
Pokemon Stadium,N64,1999,Strategy,3.18,1.24,0.94,0.09,5.45,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42,66,7.1,E
Call of Duty: World at War,PS3,2008,Shooter,2.73,1.83,0,0.83,5.39,85,7.6,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,1.85,2.5,0.19,0.85,5.38,93,7.9,T
Dr. Mario,GB,1989,Puzzle,2.18,0.96,2,0.2,5.34,,,
Final Fantasy XIII,PS3,2009,Role-Playing,1.74,1.21,1.87,0.51,5.33,83,7.3,T
Pokemon Pinball,GB,1999,Misc,3.02,1.12,1.01,0.16,5.31,,,
Final Fantasy IX,PS,2000,Role-Playing,1.62,0.77,2.78,0.14,5.3,94,8.9,T
Assassin's Creed III,X360,2012,Action,3.13,1.69,0.03,0.44,5.29,84,6.7,M
Final Fantasy X-2,PS2,2003,Role-Playing,1.92,1.08,2.11,0.17,5.29,85,6.6,T
Donkey Kong 64,N64,1999,Platform,3.33,0.79,1.09,0.06,5.27,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22,1.55,0.01,0.48,5.27,81,5.4,M
Minecraft,PS3,2014,Misc,2.03,2.37,0,0.87,5.26,,,
Assassin's Creed II,X360,2009,Action,3.11,1.55,0.08,0.51,5.26,90,8.8,M
Tomb Raider II,PS,1997,Action,2.3,2.46,0.2,0.28,5.24,85,,T
Madden NFL 2004,PS2,N/A,Sports,4.26,0.26,0.01,0.71,5.23,94,8.5,E
Tomodachi Life,3DS,2013,Simulation,0.97,2.11,1.9,0.24,5.23,,,
New Super Mario Bros. U,WiiU,2012,Platform,2.3,1.34,1.27,0.32,5.22,84,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,0.65,0.75,3.61,0.2,5.21,89,8.8,T
Super Mario Bros. 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,5.2,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,1.21,2.43,1.03,0.52,5.19,85,8.6,E
Super Mario Land 3: Wario Land,GB,1994,Platform,2.49,0.98,1.57,0.15,5.19,,,
FIFA Soccer 13,X360,2012,Action,1.09,3.47,0.03,0.57,5.16,90,6.1,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,2.1,0.74,2.2,0.11,5.15,,,
Diablo III,PC,2012,Role-Playing,2.44,2.16,0,0.54,5.14,88,4,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,1.98,2.23,0.13,0.8,5.13,68,7.6,T
Kirby's Dream Land,GB,1992,Platform,2.71,0.61,1.7,0.11,5.13,,,
Microsoft Flight Simulator,PC,1996,Simulation,3.22,1.69,0,0.2,5.12,,,
Guitar Hero II,PS2,2006,Misc,3.81,0.63,0,0.68,5.12,92,8.5,T
Fable III,X360,2010,Role-Playing,3.59,1.08,0.05,0.38,5.1,80,6.5,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,1.63,2.45,0.44,0.57,5.09,,,
Resident Evil 5,PS3,2009,Action,1.96,1.41,1.08,0.64,5.09,84,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,1.85,1.8,0.95,0.48,5.08,90,8,E
Super Mario Bros.,GB,1999,Platform,3.4,1.3,0.15,0.22,5.07,,,
FIFA Soccer 11,PS3,2010,Sports,0.61,3.28,0.06,1.12,5.07,89,8,E
Resident Evil,PS,1996,Action,2.05,1.16,1.11,0.73,5.05,91,9,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,1.7,1.99,0.16,1.18,5.03,86,8,M
Tony Hawk's Pro Skater,PS,1999,Sports,3.42,1.38,0.02,0.2,5.02,92,9.2,T
Warzone 2100,PS,1999,Strategy,2.79,1.89,0,0.33,5.01,,,
Spyro the Dragon,PS,1998,Platform,3.36,1.36,0.07,0.21,5,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,3.49,0.01,0.01,1.48,4.98,82,8.2,T
Link's Crossbow Training,Wii,2007,Shooter,3.05,1.17,0.29,0.46,4.98,68,7.1,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,1.83,1.19,1.54,0.37,4.93,,,
Fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,4.93,93,8.5,M
Uncharted: Drake's Fortune,PS3,2007,Action,2.31,1.72,0.12,0.77,4.92,88,8.1,T
Madden NFL 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,4.91,88,8,E
Diddy Kong Racing,N64,1997,Racing,2.91,0.99,0.89,0.1,4.88,,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,0,0,4.87,0,4.87,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6,1.08,0.81,0.38,4.87,,,
Dr. Mario,NES,1990,Puzzle,2.62,0.6,1.52,0.1,4.85,,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,2.57,1.68,0,0.58,4.84,93,8.2,T
Assassin's Creed,PS3,2007,Adventure,1.91,2,0.09,0.82,4.82,81,7.3,M
God of War III,PS3,2010,Action,2.74,1.33,0.12,0.61,4.8,92,8.7,M
Crash Team Racing,PS,1999,Racing,2.57,1.57,0.44,0.21,4.79,88,9,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,2.83,1.48,0,0.45,4.76,80,5.4,E
Driver 2,PS,2000,Action,2.36,2.1,0.02,0.25,4.73,62,7.7,T
Batman: Arkham City,X360,2011,Action,2.99,1.27,0.04,0.42,4.73,94,8.7,T
The Last of Us,PS4,2014,Action,1.88,2,0.07,0.77,4.71,,,
The Simpsons: Hit & Run,PS2,2003,Racing,1.73,2.19,0,0.79,4.7,,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,3.05,1.41,0.02,0.2,4.68,98,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,1.94,1.95,0.08,0.7,4.67,82,8.2,T
Tomb Raider,PS,1996,Action,2.29,1.97,0.13,0.24,4.63,91,8.6,T
Animal Crossing: City Folk,Wii,2008,Simulation,1.82,1.12,1.32,0.36,4.62,73,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.07,1.71,0.08,0.76,4.62,86,8.1,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,2.42,0.91,1.15,0.13,4.61,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,2.6,0.99,0.89,0.13,4.6,96,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,3.04,1.11,0,0.43,4.6,86,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,1.8,1.39,1.11,0.29,4.59,86,8.4,E
Forza Motorsport 4,X360,2011,Racing,2.08,1.97,0.06,0.46,4.57,91,8.2,E
