Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
"What Did I Do to Deserve This, My Lord!? 2",PSP,2008,Role-Playing,0.06,0,0.18,0.01,0.25,,,
X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,0.19,0.05,0,0.01,0.25,82,6.2,T
Butt Ugly Martians: B.K.M. Battles,GBA,2002,Action,0.18,0.07,0,0,0.25,63,,E
Monster Jam: Path of Destruction,PS3,2010,Racing,0.21,0.02,0,0.02,0.25,,6.3,E
TV Superstars,PS3,2010,Misc,0.07,0.12,0,0.05,0.25,56,4.9,E
Family Guy: Back to the Multiverse,X360,2012,Action,0.14,0.09,0,0.02,0.25,39,5,M
Ninja Gaiden 3,X360,2012,Action,0.16,0.05,0.03,0.02,0.25,58,4.4,M
Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,0.18,0.07,0,0,0.25,,,
Sid Meier's Civilization VI,PC,2016,Strategy,0.09,0.13,0,0.02,0.25,88,7.3,E10+
The Walking Dead: Season Two,PS4,2014,Adventure,0.1,0.09,0.01,0.04,0.25,,,
Create,Wii,2010,Action,0.2,0.02,0,0.02,0.25,62,,E
Sword Art Online: Lost Song,PS4,2015,Role-Playing,0.1,0.11,0,0.04,0.25,63,6.3,T
NBA Courtside 2002,GC,2002,Sports,0.19,0.05,0,0.01,0.25,71,7.4,E
F1 2015,XOne,2015,Racing,0.08,0.15,0,0.02,0.25,64,5.3,E
Wipeout 2,DS,2011,Misc,0.23,0,0,0.02,0.25,,,E
Classic NES Series: Excitebike,GBA,2004,Racing,0.11,0.04,0.1,0.01,0.25,66,,E
Classic NES Series: Xevious,GBA,2004,Shooter,0.08,0.03,0.12,0.01,0.25,,,
Avatar: The Last Airbender - Into the Inferno,PS2,2008,Adventure,0.12,0.09,0,0.03,0.25,,,
Sly Cooper: Thieves in Time,PSV,2013,Platform,0.13,0.06,0,0.06,0.25,75,8.2,E10+
Dora the Explorer: Journey to the Purple Planet,PS2,2005,Adventure,0.12,0.09,0,0.03,0.24,,7,EC
Tales of Hearts,DS,2008,Role-Playing,0,0,0.24,0,0.24,,,
Digimon World: Data Squad,PS2,2006,Role-Playing,0.12,0.09,0,0.03,0.24,43,8,E10+
Catz,GBA,2005,Simulation,0.18,0.06,0,0,0.24,,7.9,E
Hitman: Absolution,PC,2012,Action,0.03,0.17,0,0.04,0.24,79,7,M
Stella Glow,3DS,2015,Role-Playing,0.16,0.01,0.05,0.02,0.24,79,8.7,T
Racquet Sports,Wii,2010,Sports,0.13,0.09,0,0.02,0.24,51,8.6,E
Jikkyou Powerful Pro Yakyuu 2001,PS,2001,Sports,0,0,0.23,0.02,0.24,,,
Trials Fusion,XOne,2014,Racing,0.12,0.1,0,0.02,0.24,80,7.1,E10+
Mega Man X Collection,PS2,N/A,Misc,0.12,0.09,0,0.03,0.24,73,8.8,E
That's So Raven: Psychic on the Scene,DS,2006,Adventure,0.23,0,0,0.02,0.24,,,E
Far Cry Instincts Predator,X360,2006,Shooter,0.2,0.03,0,0.02,0.24,78,6.2,M
Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,0,0,0.24,0,0.24,,,
Onechanbara Z2: Chaos,PS4,2014,Action,0.14,0.03,0.04,0.04,0.24,57,6.5,M
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,0.12,0.08,0,0.04,0.24,,8.6,E10+
Skylanders SWAP Force,3DS,2013,Platform,0.1,0.12,0,0.02,0.24,68,6.4,E10+
Hasbro Family Game Night 3,PS3,2010,Misc,0.18,0.04,0,0.03,0.24,,,E
Panzer General,PS,1995,Strategy,0.14,0.09,0,0.02,0.24,,,
Gallop Racer (JP),PS,1996,Sports,0.04,0.03,0.16,0.02,0.24,,,
Cabela's Outdoor Adventures (2009),X360,2009,Sports,0.23,0,0,0.02,0.24,,7.8,T
Spawn the Eternal,PS,1997,Action,0.14,0.09,0,0.02,0.24,,,
Army Men: Sarge's Heroes 2,PS,2000,Shooter,0.14,0.09,0,0.02,0.24,48,7.3,T
MLB,PSP,2005,Sports,0.23,0,0,0.02,0.24,80,7.9,E
Skylanders: SuperChargers,XOne,2015,Action,0.17,0.05,0,0.02,0.24,76,5.5,E10+
Ys: Memories of Celceta,PSV,2012,Action,0.1,0.01,0.1,0.04,0.24,82,8.8,T
Britney's Dance Beat,PS2,2002,Misc,0.12,0.09,0,0.03,0.24,63,4.8,E
Guitar Freaks,PS,1999,Simulation,0,0,0.23,0.02,0.24,,,
World Soccer Winning Eleven 7,PS2,2003,Sports,0.12,0.09,0,0.03,0.24,,,
SRS: Street Racing Syndicate,XB,2004,Racing,0.18,0.05,0,0.01,0.24,,,
Namco Tennis Smash Court,PS,1995,Sports,0,0,0.23,0.02,0.24,,,
Vexx,PS2,2003,Platform,0.12,0.09,0,0.03,0.24,63,7.6,T
Samurai Warriors 4,PS4,2014,Action,0.08,0.07,0.06,0.03,0.24,76,8.1,T
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,0.1,0.06,0.08,0.01,0.24,71,7.8,T
Marvel vs. Capcom Origins,PS2,2006,Fighting,0.11,0.08,0.02,0.03,0.24,,,
Pro Yaky? Spirits 2011,PSP,2011,Sports,0,0,0.24,0,0.24,,,
TimeSplitters: Future Perfect,PS2,2005,Shooter,0.12,0.09,0,0.03,0.24,84,9.1,M
Dynasty Warriors Next,PSV,2011,Action,0.05,0.06,0.11,0.02,0.24,67,7.5,T
Atelier Meruru: Alchemist of Arland 3,PS3,2011,Role-Playing,0.05,0,0.18,0.01,0.24,,,
Harvest Moon: Magical Melody,GC,2005,Simulation,0.19,0.05,0,0.01,0.24,83,8.9,E
Disney Stitch Jam,DS,2009,Misc,0.07,0,0.16,0.01,0.24,,,E
Genma Onimusha,XB,2002,Action,0.14,0.04,0.05,0.01,0.24,83,8.6,M
DK: King of Swing,GBA,2005,Platform,0.17,0.06,0,0,0.24,70,5,E
K-1 Revenge,PS,1997,Fighting,0.04,0.03,0.16,0.02,0.24,,,
Turning Point: Fall of Liberty,PS3,2008,Shooter,0.21,0.01,0,0.02,0.24,42,5.5,T
G-Police,PS,1997,Action,0.13,0.09,0,0.02,0.24,,,
Command & Conquer 3: Kane's Wrath,X360,2008,Strategy,0.16,0.06,0,0.02,0.24,,,
Homefront,PC,2011,Shooter,0.11,0.1,0,0.03,0.24,70,5.5,M
Corvette,XB,2003,Racing,0.18,0.05,0,0.01,0.24,53,8.6,E
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,0.22,0.01,0,0.02,0.24,56,6.9,E10+
Fuel,PS3,2009,Racing,0.08,0.11,0,0.04,0.24,67,7.4,E
NBA Live 10,PSP,2009,Sports,0.21,0,0.01,0.02,0.24,64,4.2,E
Burnout 2: Point of Impact,XB,2003,Racing,0.18,0.05,0,0.01,0.24,88,5.1,E
Super Monkey Ball Deluxe,PS2,2005,Misc,0.12,0.09,0,0.03,0.24,78,7.7,E
Kill.Switch,XB,2003,Shooter,0.18,0.05,0,0.01,0.24,75,8,T
BioShock 2,PC,N/A,Shooter,0.02,0.19,0,0.04,0.24,88,8,M
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,0.19,0,0.03,0.02,0.24,80,7.7,T
Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,0.19,0.05,0,0.01,0.24,81,8.3,T
Dancing With The Stars,Wii,2007,Misc,0.22,0,0,0.02,0.24,42,6.2,E10+
Summon Night 3,PS2,2003,Role-Playing,0,0,0.24,0,0.24,,,
Pro Yaky? Spirits 2010,PSP,2010,Sports,0,0,0.24,0,0.24,,,
The Simpsons: Road Rage,GC,2001,Racing,0.19,0.05,0,0.01,0.24,67,7.7,T
Chibi-Robo! Zip Lash,3DS,2015,Platform,0.09,0.08,0.06,0.02,0.24,,,
Dynasty Warriors 7,X360,2011,Action,0.16,0.06,0,0.02,0.24,58,8,T
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,Misc,0,0,0.24,0,0.24,,,
Total War: Attila,PC,2015,Strategy,0.09,0.13,0,0.02,0.24,80,7.3,T
Azurik: Rise of Perathia,XB,2001,Action,0.18,0.05,0,0.01,0.24,52,8.5,T
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,Misc,0.17,0.06,0,0,0.24,,,
Paws & Claws: Pet Resort,DS,2008,Simulation,0.22,0,0,0.02,0.24,,,
Dragon Ball Z: Sagas,XB,2005,Fighting,0.18,0.05,0,0.01,0.24,51,6.1,T
Just Dance Kids 2,PS3,2011,Misc,0.1,0.1,0,0.04,0.24,,,E
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,0.21,0.01,0,0.02,0.24,60,5.3,T
Crash Tag Team Racing,PSP,2005,Racing,0.16,0.05,0,0.03,0.24,68,7.1,E10+
Sakura Wars: Atsuki Chishio Ni,PS2,2003,Role-Playing,0,0,0.24,0,0.24,,,
The Price is Right 2010 Edition,Wii,2009,Misc,0.22,0,0,0.02,0.24,,,E
Ms. Pac-Man: Maze Madness / Pac-Man World,GBA,2005,Puzzle,0.17,0.06,0,0,0.24,,,
NHRA Championship Drag Racing,PS2,2005,Racing,0.12,0.09,0,0.03,0.24,,9.1,E
Monster Jam,PS2,2007,Racing,0.12,0.09,0,0.03,0.24,,5.9,E
Asura's Wrath,X360,2012,Action,0.15,0.06,0.01,0.02,0.24,71,6.5,T
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,0.19,0.05,0,0.01,0.24,70,9.2,E
Jikkyou Powerful Pro Yakyuu 15,PS2,2008,Sports,0,0,0.24,0,0.24,,,
Front Line,2600,1981,Action,0.22,0.01,0,0,0.24,,,
Ready 2 Rumble Boxing: Round 2,N64,2000,Fighting,0.19,0.05,0,0,0.24,,,
Army Men: Air Combat,N64,2000,Action,0.19,0.05,0,0,0.24,,,
Paperboy,N64,1999,Action,0.19,0.05,0,0,0.24,,,
South Park: Chef's Luv Shack,N64,1999,Misc,0.19,0.05,0,0,0.24,,,
Midway's Greatest Arcade Hits Volume 1,N64,2000,Misc,0.19,0.05,0,0,0.24,,,
Road Rash 64,N64,1999,Racing,0.19,0.05,0,0,0.24,,,
Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,0.1,0.01,0.12,0.01,0.24,75,7.4,E
NCAA College Basketball 2K3,PS2,2002,Sports,0.12,0.09,0,0.03,0.24,83,8,E
Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,Action,0,0,0.24,0,0.24,,,
NHL 17,XOne,2016,Sports,0.2,0.01,0,0.03,0.24,77,4,E10+
NCAA March Madness 2004,XB,2003,Sports,0.18,0.05,0,0.01,0.24,81,,E
Lucky Luke,PS,1998,Platform,0.13,0.09,0,0.02,0.24,,,
Bakugan: Battle Brawlers,X360,2009,Action,0.2,0.02,0,0.02,0.24,60,5.2,E
Fantastic 4,GC,2005,Action,0.19,0.05,0,0.01,0.24,61,4,T
LEGO The Hobbit,3DS,2014,Action,0.1,0.12,0,0.02,0.24,,,
Tony Hawk's American Sk8land,GBA,2005,Sports,0.17,0.06,0,0,0.24,64,5.4,E
Singularity,PS3,N/A,Shooter,0.17,0.04,0.01,0.03,0.24,77,7.7,M
Metro 2033,PC,2010,Shooter,0,0.19,0,0.05,0.24,81,8.1,M
Densetsu no Stafi 3,GBA,2004,Platform,0,0,0.23,0.01,0.24,,,
Forsaken,PS,1998,Shooter,0.13,0.09,0,0.02,0.24,,,
Imagine: Teacher Class Trip,DS,2009,Adventure,0.1,0.12,0,0.02,0.24,,,E
Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003,Action,0,0,0.24,0,0.24,,,
Dragon Ball: XenoVerse,X360,2015,Fighting,0.17,0.04,0,0.02,0.24,,6.7,T
Valhalla Knights,PSP,2006,Role-Playing,0.15,0,0.07,0.01,0.24,53,6.3,E10+
The Hobbit,XB,2003,Platform,0.18,0.05,0,0.01,0.24,,,
Destiny: The Collection,PS4,2016,Shooter,0.05,0.15,0,0.04,0.24,,8.1,T
FIFA 14,3DS,2013,Sports,0,0.22,0,0.01,0.24,,,
Dance Dance Revolution: Disney Channel Edition,PS2,2008,Simulation,0.12,0.09,0,0.03,0.24,61,,E
The Incredible Hulk,DS,2008,Action,0.22,0,0,0.02,0.24,50,,E10+
The Adventures of Tintin: The Game,X360,2011,Action,0.07,0.13,0,0.03,0.24,63,6.1,E10+
Checkers,2600,1980,Misc,0.22,0.01,0,0,0.24,,,
Front Mission: Gun Hazard,SNES,1996,Role-Playing,0,0,0.24,0,0.24,,,
Etrian Mystery Dungeon,3DS,2015,Role-Playing,0.09,0.01,0.13,0.01,0.24,77,7.9,E10+
Zumba Fitness: World Party,XOne,2013,Misc,0.17,0.05,0,0.02,0.24,73,6.2,E
Luminous Arc,DS,2007,Role-Playing,0.16,0,0.06,0.01,0.24,70,7,T
Boogie SuperStar,Wii,2008,Misc,0.2,0.02,0,0.02,0.24,,8.6,E10+
4x4 EVO 2,XB,2001,Racing,0.18,0.05,0,0.01,0.24,59,6.2,E
Juiced 2: Hot Import Nights,DS,2007,Racing,0.22,0,0,0.02,0.24,72,,T
XS Airboat Racing,PS,2002,Racing,0.13,0.09,0,0.02,0.24,,,
Cradle of Rome,DS,2008,Puzzle,0.05,0.15,0,0.03,0.24,63,,E
Grand Theft Auto,GBA,2004,Action,0.17,0.06,0,0,0.24,68,7.1,M
Avalon Code,DS,2008,Role-Playing,0.11,0,0.12,0.01,0.24,71,7.4,E10+
Dora the Explorer: Super Star Adventures,GBA,2004,Adventure,0.17,0.06,0,0,0.24,,,
Star Trek: The Game,PS3,2013,Action,0.1,0.1,0,0.04,0.24,,,
Dreamcast Collection,X360,2011,Misc,0.16,0.06,0,0.02,0.24,53,5.2,T
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,0.13,0.03,0.06,0.01,0.24,62,8.2,M
Rocket League,XOne,2016,Sports,0.05,0.17,0,0.02,0.24,87,8.3,E
My Street,PS2,2003,Misc,0.12,0.09,0,0.03,0.24,46,3.9,E
Spider-Man: Shattered Dimensions,Wii,2010,Action,0.12,0.09,0,0.02,0.24,75,7.7,T
Wild 9,PS,1998,Action,0.13,0.09,0,0.02,0.24,,,
Ghost Rider,PSP,2007,Action,0.22,0,0,0.02,0.24,49,5.7,T
Shadow Hearts: Covenant,PS2,2004,Role-Playing,0.12,0.09,0,0.03,0.24,85,9.1,T
X-Men: Destiny,PS3,2011,Action,0.14,0.07,0,0.03,0.24,50,4.8,T
Driver '76,PSP,2007,Racing,0.03,0.14,0,0.07,0.24,57,7.9,M
Danganronpa: Trigger Happy Havoc,PSP,N/A,Misc,0,0,0.24,0,0.24,,,
Harry Potter and the Order of the Phoenix,PS3,2007,Action,0.18,0.03,0,0.03,0.24,67,6.6,E10+
Midway Arcade Treasures: Extended Play,PSP,2005,Misc,0.21,0,0,0.02,0.24,63,7.8,M
Nickelodeon Dance,Wii,2011,Misc,0.21,0.01,0,0.01,0.24,,,E
PGA Tour 96,PS,1995,Sports,0.13,0.09,0,0.02,0.24,,,
Covert Ops: Nuclear Dawn,PS,2000,Action,0.13,0.09,0,0.02,0.24,,,
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,2010,Platform,0.1,0.09,0,0.05,0.24,,,E10+
Amazing Adventures: The Forgotten Ruins,DS,2008,Adventure,0.13,0.08,0,0.02,0.24,,,E
Galaga: Destination Earth,PS,2000,Shooter,0.13,0.09,0,0.02,0.24,,8,E
Dynasty Warriors 6 Empires,X360,2009,Action,0.16,0.01,0.04,0.02,0.24,59,7.3,T
The Testament of Sherlock Holmes,PS3,2012,Adventure,0.05,0.14,0,0.04,0.24,65,7.4,M
FIFA World Cup Germany 2006,XB,2006,Sports,0.18,0.05,0,0.01,0.24,77,8.4,E
NBA Live 14,PS4,2013,Sports,0.15,0.05,0,0.04,0.24,43,2.7,E
G.I. Joe: The Rise of Cobra,X360,2009,Action,0.17,0.05,0,0.02,0.24,42,4.7,T
Polly Pocket: Super Splash Island,GBA,2003,Action,0.17,0.06,0,0,0.24,,,
Game of Thrones,PS3,2012,Role-Playing,0.1,0.1,0,0.03,0.24,53,5.5,M
God Eater 2,PSP,2013,Role-Playing,0,0,0.24,0,0.24,,,
LEGO Marvel's Avengers,WiiU,2016,Action,0.12,0.1,0,0.02,0.24,69,6.8,E10+
PDC World Championship Darts 2008,Wii,2008,Sports,0.02,0.21,0,0.01,0.24,51,5.4,E10+
X-Men: Destiny,X360,2011,Action,0.18,0.04,0,0.02,0.24,47,5,T
Sesame Street: Elmo's Number Journey,PS,1998,Misc,0.13,0.09,0,0.02,0.24,,,
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,0.16,0.06,0,0.02,0.24,,,M
Rampage,2600,1988,Action,0.22,0.01,0,0,0.24,,,
Dark Cavern,2600,1981,Shooter,0.22,0.01,0,0,0.24,,,
Pictionary: Ultimate Edition,X360,2011,Misc,0.16,0.05,0,0.02,0.24,53,,E
Pro Evolution Soccer 2014,X360,2013,Action,0.07,0.15,0,0.02,0.24,80,4.3,E
The Godfather (US & Others sales),X360,2006,Action,0.2,0.02,0,0.02,0.24,,,
We Love Golf!,Wii,2007,Sports,0.19,0,0.03,0.02,0.24,,,
Angry Birds,PC,2011,Puzzle,0,0.18,0,0.05,0.24,,7.3,E
Pictionary: Ultimate Edition,PS3,2011,Misc,0.15,0.06,0,0.03,0.24,62,,E
Pure Futbol,PS3,2010,Sports,0.06,0.13,0,0.04,0.24,46,7.5,E
Tiger Woods PGA Tour 10,PSP,2009,Sports,0.12,0.07,0,0.05,0.24,70,,E
Imagine: Zookeeper,DS,2009,Simulation,0.15,0.06,0,0.02,0.24,,,E
Dood's Big Adventure,Wii,2010,Platform,0.21,0.01,0,0.02,0.24,56,,E
Afro Samurai,X360,2009,Action,0.16,0.05,0,0.02,0.24,65,6.2,M
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,0.08,0.01,0.13,0.01,0.24,61,5.4,M
NASCAR 08,PS2,2007,Racing,0.12,0.09,0,0.03,0.24,56,8.2,E
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,0.11,0.1,0,0.02,0.24,74,8.1,T
Divinity II: Ego Draconis,X360,2009,Role-Playing,0.18,0.04,0,0.02,0.24,62,6.4,M
Birds of Steel,PS3,2012,Simulation,0.1,0.08,0.02,0.03,0.23,73,8.4,T
DC Universe Online,PC,2011,Role-Playing,0.16,0.06,0,0.02,0.23,72,6.8,T
Bakugan: Battle Brawlers,PS3,2009,Action,0.19,0.03,0,0.02,0.23,63,8.2,E
Naruto: Path of the Ninja 2,DS,2006,Role-Playing,0.22,0,0,0.02,0.23,62,7.5,E10+
Karaoke Revolution Volume 2,PS2,2004,Misc,0.11,0.09,0,0.03,0.23,76,7,E
Wallace & Gromit in Project Zoo,PS2,2003,Platform,0.11,0.09,0,0.03,0.23,,,
Are You Smarter than a 5th Grader? Game Time,DS,2009,Puzzle,0.22,0,0,0.02,0.23,,,E
Girls Mode 3: Kirakira Code,3DS,2015,Action,0,0,0.23,0,0.23,,,
Love Plus +,DS,2010,Simulation,0,0,0.23,0,0.23,,,
Prince of Persia: The Forgotten Sands,Wii,2010,Action,0.1,0.11,0,0.02,0.23,77,8.1,T
Disney's A Christmas Carol,DS,2009,Adventure,0.21,0.01,0,0.02,0.23,66,6.5,E
Mobile Suit Gundam: Climax U.C.,PS2,2006,Action,0,0,0.23,0,0.23,,,
Street Fighter EX2 Plus,PS,1998,Fighting,0.13,0.09,0,0.02,0.23,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,0,0,0.23,0,0.23,,,
Big Family Games,Wii,2009,Misc,0,0.22,0,0.02,0.23,,,
Super Robot Taisen D,GBA,2003,Strategy,0,0,0.23,0.01,0.23,,,
Jet X20,PS2,N/A,Racing,0.11,0.09,0,0.03,0.23,,,
NBA Live 15,PS4,2014,Sports,0.16,0.04,0,0.04,0.23,59,5.6,E
NASCAR Thunder 2004,XB,2003,Racing,0.18,0.05,0,0.01,0.23,85,9.1,E
Buffy the Vampire Slayer,XB,2002,Action,0.18,0.05,0,0.01,0.23,79,9.1,T
MX vs. ATV Reflex,PSP,2009,Racing,0.18,0.03,0,0.03,0.23,,,E
Harry Potter and the Goblet of Fire,XB,2005,Action,0.18,0.05,0,0.01,0.23,68,5.8,E10+
Transformers: War for Cybertron (DS Version),DS,2010,Shooter,0.21,0.01,0,0.02,0.23,,,
Sands of Destruction,DS,2008,Role-Playing,0.09,0,0.13,0.01,0.23,63,7.9,T
Harry Potter and the Goblet of Fire,DS,2005,Action,0.2,0.01,0,0.02,0.23,68,6,E
Viva Pinata: Party Animals,X360,2007,Misc,0.19,0.02,0,0.02,0.23,56,6.2,E
Pro Yakyuu Team o Tsukurou!,DC,1999,Sports,0,0,0.23,0,0.23,,,
Shrek's Carnival Craze Party Games,DS,2008,Misc,0.22,0,0,0.02,0.23,,,
Cabela's Big Game Hunter 2012,PS3,2011,Sports,0.17,0.03,0,0.03,0.23,,,T
Hotel for Dogs,DS,2008,Simulation,0.22,0,0,0.02,0.23,,,E
Scrabble (Others sales),DS,2009,Puzzle,0,0.23,0,0,0.23,,,
World Series Baseball,XB,2002,Sports,0.17,0.05,0,0.01,0.23,85,8.8,E
Test Drive: Eve of Destruction,PS2,2004,Racing,0.11,0.09,0,0.03,0.23,73,9.1,T
Starsky & Hutch,XB,2003,Racing,0.17,0.05,0,0.01,0.23,,,
Dynasty Warriors: Gundam Reborn,PS3,2013,Action,0,0,0.23,0,0.23,64,7.5,T
Hatsune Miku: Project Diva f,PSV,2012,Misc,0,0,0.23,0,0.23,81,8,T
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Role-Playing,0.05,0.02,0.14,0.02,0.23,77,7.5,T
Jeremy McGrath Supercross World,PS2,2001,Racing,0.11,0.09,0,0.03,0.23,35,3.4,T
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,0.11,0.09,0,0.03,0.23,47,7.2,T
Rock Band Country Track Pack,X360,2009,Misc,0.22,0,0,0.02,0.23,66,,E10+
Loving Life with Hello Kitty & Friends,DS,2011,Misc,0.13,0.07,0,0.02,0.23,,,
Let's Make a Soccer Team!,PS2,2006,Sports,0,0,0.23,0,0.23,,,
The Club,PS3,2008,Shooter,0.14,0.07,0,0.03,0.23,72,6.5,M
Monster Hunter G,PS2,2005,Role-Playing,0,0,0.23,0,0.23,,,
Meteos,DS,2005,Puzzle,0.15,0.01,0.06,0.01,0.23,88,7.5,E
All-Star Baseball 2001,N64,2000,Sports,0.22,0.01,0,0,0.23,,,
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,0.18,0.05,0,0.01,0.23,75,7.8,T
Tom Clancy's Splinter Cell,GC,2003,Action,0.18,0.05,0,0.01,0.23,89,8.7,T
Virtua Tennis 4,X360,2011,Sports,0.11,0.09,0.01,0.02,0.23,70,6.2,E
ESPN NHL Hockey,PS2,2003,Sports,0.11,0.09,0,0.03,0.23,90,7,E
Harvest Moon GB,GB,1997,Simulation,0,0,0.23,0,0.23,,,
DiRT Showdown,X360,2012,Racing,0.08,0.13,0,0.02,0.23,75,6.4,E10+
The Incredible Hulk: Ultimate Destruction,XB,2005,Action,0.17,0.05,0,0.01,0.23,84,8,T
NCAA GameBreaker 2003,PS2,2002,Sports,0.11,0.09,0,0.03,0.23,53,,E
The Amazing Spider-Man 2 (2014),X360,2014,Action,0.1,0.11,0,0.02,0.23,,,
Gundam Battle Assault,PS,1998,Fighting,0.13,0.09,0,0.02,0.23,61,7.8,T
Virtua Fighter Kids,SAT,1995,Fighting,0,0,0.23,0,0.23,,,
XCOM 2,PC,2016,Strategy,0.09,0.12,0,0.02,0.23,88,7.1,T
Lunar: Silver Star Story,SAT,1996,Role-Playing,0,0,0.23,0,0.23,,,
Rocket Power: Beach Bandits,GC,2002,Platform,0.18,0.05,0,0.01,0.23,53,,E
Shaun White Snowboarding,DS,2008,Sports,0.21,0,0,0.02,0.23,63,,E
Tony Hawk's Downhill Jam,Wii,N/A,Sports,0.21,0,0,0.02,0.23,69,6.2,E10+
M&M's Kart Racing,Wii,2007,Racing,0.21,0,0,0.02,0.23,,,
Cross Edge,PS3,2008,Role-Playing,0.14,0.02,0.05,0.02,0.23,52,7.2,T
Tom Clancy's Rainbow Six: Rogue Spear,PS,2001,Shooter,0.13,0.09,0,0.02,0.23,,,
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,0.17,0.05,0,0.02,0.23,58,7.8,T
NHL FaceOff 2001,PS,2000,Sports,0.13,0.09,0,0.02,0.23,78,,E
Cabela's Outdoor Adventures (2009),PS3,2009,Sports,0.21,0,0,0.02,0.23,,,T
Puss in Boots,X360,2011,Action,0.2,0.02,0,0.02,0.23,,,
Yu-Gi-Oh! GX: Duel Academy,GBA,2005,Misc,0.17,0.06,0,0,0.23,,,
Tribes: Aerial Assault,PS2,N/A,Shooter,0.11,0.09,0,0.03,0.23,73,8.8,T
Game & Wario,WiiU,2013,Misc,0.05,0.06,0.12,0.01,0.23,,,
Colony Wars: Vengeance,PS,1998,Simulation,0.13,0.09,0,0.02,0.23,,,
Looney Tunes: Acme Arsenal,Wii,2007,Action,0.21,0.01,0,0.02,0.23,27,5.1,E10+
Jewels of the Tropical Lost Island,DS,2010,Puzzle,0.11,0.1,0,0.02,0.23,,,E
Sherlock Holmes and the Mystery of Osborne House,DS,2010,Adventure,0.07,0.14,0,0.03,0.23,48,,E10+
Ashes Cricket 2009,Wii,2009,Sports,0,0.22,0,0.01,0.23,,,
Madden NFL 06,GBA,2005,Sports,0.17,0.06,0,0,0.23,71,,E
Madagascar: Escape 2 Africa,PS3,2008,Action,0.12,0.08,0,0.03,0.23,58,6.8,E10+
The King of Fighters '95 (CD),NG,1994,Fighting,0,0,0.23,0,0.23,,,
Megamind: Mega Team Unite,Wii,2010,Adventure,0.15,0.06,0,0.02,0.23,,,E10+
Perfect Weapon,PS,1996,Action,0.13,0.09,0,0.02,0.23,,,
NBA 2K6,X360,2005,Action,0.21,0.01,0,0.02,0.23,81,8.6,E
NASCAR 08,PS3,2007,Racing,0.15,0.05,0,0.03,0.23,57,5,E
Major League Baseball 2K10,PS2,2010,Sports,0.11,0.09,0,0.03,0.23,,,E
Rock Band Track Pack Volume 2,Wii,2008,Misc,0.2,0.01,0,0.02,0.23,,,
Wipeout 2,3DS,2011,Misc,0.22,0,0,0.01,0.23,,,E
Mafia,XB,2004,Action,0.17,0.05,0,0.01,0.23,66,7.7,M
Grand Slam Tennis 2,PS3,2012,Sports,0.09,0.1,0,0.04,0.23,73,5.2,E
Dynasty Warriors: Strikeforce,X360,2009,Action,0.13,0.06,0.02,0.02,0.23,59,5.7,T
Airblade,PS2,2001,Sports,0.11,0.09,0,0.03,0.23,70,5.8,T
Mega Man & Bass,GBA,2002,Platform,0.16,0.06,0,0,0.23,,,
Ratchet & Clank: Full Frontal Assault,PS3,2012,Adventure,0.19,0.01,0,0.03,0.23,,,
Epic Mickey 2: The Power of Two,WiiU,2012,Action,0.13,0.07,0.01,0.02,0.23,57,5.6,E
AKB1/149: Love Election,PSP,2012,Adventure,0,0,0.23,0,0.23,,,
Tetris 2 (weekly jp sales),GB,1992,Puzzle,0,0,0.23,0,0.23,,,
Pro Yakyuu Team o Tsukurou! 2,PS2,2003,Sports,0,0,0.23,0,0.23,,,
Musou Orochi Z,PS3,2009,Action,0,0,0.23,0,0.23,,,
World Series of Poker 2008: Battle for the Bracelets,PS2,2007,Misc,0.11,0.09,0,0.03,0.23,,,T
Carnival Island,PS3,2011,Misc,0.13,0.06,0,0.04,0.23,66,5.2,E
